商家編號,商家名稱 (單位: min),1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
30,雷咖哩 Les Currys,8.25 ,10.25 ,9.00 ,6.25 ,6.75 ,7.00 ,4.75 ,5.25 ,4.75 ,4.50 ,6.00 ,7.25 ,6.50 ,6.00 ,6.75 ,7.25 ,7.25 ,3.75 ,0.75 ,1.50 ,6.00 ,5.75 ,5.00 ,5.75 ,5.50 ,5.25 ,4.00 ,6.50 ,3.00 ,0.00 ,5.75 ,6.75 ,4.25 ,4.50 ,4.75 ,7.00 ,4.50 ,6.25 ,5.50 ,5.50 ,6.25 ,2.25 ,4.50 ,5.75 ,6.00 ,5.75 ,2.25 ,2.25 ,1.50 ,2.50 ,1.00 ,5.00 ,2.75 ,2.25 ,3.00 ,6.25 ,3.75 ,2.75 ,7.75 ,7.50 ,8.00 ,7.75 ,7.00 ,7.75 ,8.75 ,8.00 ,8.00 ,7.50 ,7.75 ,9.50 ,8.25 ,8.00 ,8.00 ,8.00 ,7.00 
31,摩斯漢堡 台科大店,3.00 ,5.00 ,4.00 ,6.75 ,7.00 ,3.00 ,2.25 ,3.25 ,3.50 ,2.75 ,2.50 ,7.25 ,4.50 ,5.50 ,5.25 ,7.00 ,8.75 ,4.75 ,6.50 ,6.25 ,5.00 ,5.25 ,6.50 ,4.75 ,5.25 ,5.00 ,5.75 ,4.50 ,4.75 ,5.75 ,0.00 ,1.00 ,1.75 ,1.75 ,4.25 ,8.25 ,7.25 ,7.50 ,7.50 ,8.00 ,7.00 ,8.25 ,8.00 ,4.25 ,6.00 ,5.25 ,5.25 ,4.25 ,5.25 ,3.75 ,5.50 ,8.25 ,3.50 ,4.50 ,4.25 ,5.75 ,5.50 ,5.50 ,3.75 ,4.00 ,3.50 ,3.25 ,4.50 ,5.25 ,10.75 ,5.50 ,9.25 ,4.50 ,3.75 ,4.75 ,3.25 ,3.50 ,3.75 ,5.50 ,4.25 
32,麗陽商場-台科大第三學生餐廳,2.50 ,4.50 ,3.50 ,7.25 ,7.25 ,2.50 ,3.00 ,3.25 ,4.00 ,3.50 ,2.00 ,6.75 ,4.25 ,5.25 ,4.75 ,6.50 ,8.50 ,5.75 ,7.25 ,7.00 ,4.75 ,5.00 ,6.75 ,4.50 ,5.00 ,5.00 ,6.00 ,4.00 ,5.50 ,6.75 ,1.00 ,0.00 ,2.50 ,2.50 ,5.25 ,7.75 ,7.50 ,7.00 ,7.50 ,7.75 ,6.75 ,9.00 ,8.25 ,4.50 ,6.25 ,5.75 ,6.00 ,5.25 ,6.25 ,4.75 ,6.25 ,8.50 ,4.50 ,5.25 ,5.25 ,6.00 ,6.50 ,6.50 ,3.25 ,3.75 ,3.00 ,2.75 ,4.00 ,5.00 ,10.50 ,5.00 ,9.00 ,4.00 ,3.50 ,4.25 ,3.00 ,3.00 ,3.50 ,5.25 ,3.75 
33,Living One,4.00 ,6.00 ,5.00 ,5.25 ,5.50 ,3.50 ,1.50 ,2.50 ,2.75 ,2.00 ,2.50 ,6.75 ,4.25 ,4.75 ,4.75 ,6.50 ,8.50 ,3.25 ,5.00 ,4.75 ,4.25 ,4.50 ,5.75 ,4.00 ,4.50 ,4.25 ,5.00 ,4.00 ,3.00 ,4.25 ,1.75 ,2.50 ,0.00 ,0.50 ,3.00 ,7.75 ,6.50 ,6.75 ,7.00 ,7.25 ,6.50 ,6.75 ,7.25 ,3.00 ,4.50 ,3.75 ,3.50 ,2.75 ,3.75 ,2.25 ,4.00 ,7.50 ,2.25 ,3.00 ,3.00 ,4.25 ,4.00 ,4.00 ,4.25 ,4.50 ,4.25 ,4.00 ,4.50 ,5.25 ,10.50 ,5.50 ,9.00 ,5.00 ,4.25 ,5.50 ,4.00 ,4.25 ,4.50 ,5.50 ,4.50 
34,星巴克 長興門市,4.00 ,6.00 ,5.00 ,5.00 ,5.25 ,3.75 ,2.00 ,3.00 ,3.00 ,2.25 ,2.75 ,7.00 ,4.50 ,5.00 ,5.00 ,6.75 ,8.75 ,3.00 ,5.25 ,5.00 ,4.50 ,4.75 ,6.25 ,4.25 ,4.75 ,4.75 ,5.25 ,4.25 ,3.00 ,4.50 ,1.75 ,2.50 ,0.50 ,0.00 ,2.75 ,8.00 ,6.75 ,7.00 ,7.25 ,7.50 ,6.75 ,7.00 ,7.50 ,2.75 ,4.25 ,3.75 ,3.50 ,3.00 ,4.00 ,2.50 ,4.25 ,7.75 ,2.50 ,3.25 ,3.25 ,4.00 ,3.75 ,4.00 ,4.50 ,4.75 ,4.50 ,4.25 ,4.75 ,5.50 ,10.75 ,5.75 ,9.25 ,5.25 ,4.50 ,5.75 ,4.25 ,4.50 ,4.75 ,5.75 ,4.75 
35,黑熊愛跳舞,6.75 ,8.75 ,7.50 ,2.25 ,2.75 ,6.25 ,4.50 ,5.50 ,5.25 ,4.50 ,5.25 ,9.00 ,7.00 ,7.50 ,7.50 ,9.25 ,10.25 ,0.75 ,5.25 ,5.00 ,7.00 ,7.50 ,7.75 ,6.75 ,7.25 ,7.00 ,7.00 ,6.75 ,1.75 ,4.75 ,4.25 ,5.25 ,3.00 ,2.75 ,0.00 ,9.75 ,7.50 ,8.50 ,8.50 ,8.50 ,8.50 ,7.00 ,7.75 ,2.25 ,1.50 ,1.50 ,2.50 ,4.25 ,3.25 ,4.25 ,4.25 ,8.00 ,4.00 ,4.75 ,4.75 ,2.00 ,1.75 ,2.50 ,7.00 ,7.25 ,7.00 ,7.00 ,7.25 ,8.00 ,11.75 ,8.25 ,11.00 ,7.75 ,7.00 ,8.25 ,7.00 ,7.00 ,7.25 ,8.25 ,7.25 
36,秘氏珈琲 Café Chamber,7.25 ,9.25 ,8.25 ,11.25 ,12.00 ,5.50 ,6.50 ,5.50 ,5.50 ,6.00 ,5.75 ,1.00 ,4.00 ,3.50 ,3.50 ,1.25 ,1.00 ,9.00 ,6.75 ,5.25 ,3.75 ,4.00 ,2.00 ,4.00 ,4.00 ,4.00 ,3.00 ,4.00 ,8.25 ,7.00 ,8.25 ,7.75 ,7.75 ,8.00 ,9.75 ,0.00 ,2.25 ,1.00 ,1.25 ,1.25 ,1.50 ,6.75 ,3.50 ,9.75 ,11.25 ,10.75 ,7.75 ,6.75 ,7.50 ,7.25 ,6.50 ,2.00 ,7.00 ,6.75 ,6.75 ,11.25 ,9.00 ,8.75 ,5.00 ,5.00 ,6.00 ,5.75 ,4.50 ,4.00 ,3.00 ,5.50 ,2.25 ,5.00 ,5.25 ,7.75 ,6.00 ,6.00 ,5.75 ,4.00 ,4.50 
37,初魚屋台,7.00 ,9.00 ,7.75 ,9.00 ,9.50 ,5.25 ,5.25 ,4.25 ,4.00 ,4.50 ,5.50 ,2.75 ,3.50 ,2.25 ,2.75 ,2.75 ,3.25 ,6.50 ,4.25 ,3.00 ,2.75 ,2.50 ,0.75 ,3.00 ,2.50 ,2.75 ,1.50 ,3.75 ,5.75 ,4.50 ,7.25 ,7.50 ,6.50 ,6.75 ,7.50 ,2.25 ,0.00 ,1.75 ,1.00 ,1.50 ,2.00 ,4.50 ,1.25 ,8.25 ,9.00 ,8.50 ,5.50 ,4.50 ,5.00 ,5.00 ,4.25 ,1.00 ,5.25 ,4.25 ,4.50 ,9.00 ,6.75 ,6.25 ,4.75 ,4.75 ,5.50 ,5.50 ,4.00 ,4.25 ,4.75 ,5.00 ,4.00 ,4.50 ,5.00 ,7.50 ,5.75 ,5.50 ,5.25 ,4.00 ,4.25 
38,小木屋鬆餅（師大店）,6.50 ,8.50 ,7.50 ,10.75 ,11.25 ,5.00 ,5.50 ,4.50 ,4.25 ,5.00 ,5.00 ,0.75 ,3.25 ,2.50 ,2.75 ,1.00 ,2.00 ,8.50 ,6.00 ,4.75 ,3.00 ,2.50 ,1.25 ,3.25 ,2.75 ,2.75 ,2.25 ,3.25 ,7.75 ,6.25 ,7.50 ,7.00 ,6.75 ,7.00 ,8.50 ,1.00 ,1.75 ,0.00 ,0.75 ,0.75 ,0.75 ,6.25 ,3.00 ,8.50 ,10.25 ,9.50 ,7.25 ,6.25 ,7.00 ,6.00 ,6.00 ,1.75 ,5.75 ,6.25 ,5.75 ,10.00 ,8.50 ,8.25 ,4.50 ,4.50 ,5.25 ,5.00 ,3.75 ,3.50 ,4.25 ,4.75 ,3.00 ,4.25 ,4.50 ,7.25 ,5.25 ,5.25 ,5.00 ,3.25 ,4.00 
39,師園鹽酥雞,7.00 ,9.00 ,8.00 ,10.00 ,10.50 ,5.25 ,5.75 ,4.75 ,4.50 ,5.00 ,5.50 ,1.50 ,3.75 ,2.50 ,3.00 ,1.75 ,2.25 ,7.50 ,5.25 ,4.00 ,3.00 ,3.00 ,1.00 ,3.50 ,3.00 ,3.00 ,2.00 ,3.75 ,6.75 ,5.50 ,7.50 ,7.50 ,7.00 ,7.25 ,8.50 ,1.25 ,1.00 ,0.75 ,0.00 ,0.50 ,1.25 ,5.50 ,2.25 ,8.75 ,10.00 ,9.50 ,6.50 ,5.50 ,6.25 ,6.00 ,5.25 ,1.25 ,6.00 ,5.50 ,5.50 ,10.00 ,7.75 ,7.25 ,5.00 ,4.75 ,5.75 ,5.50 ,4.25 ,3.75 ,4.25 ,5.25 ,3.50 ,4.75 ,5.00 ,7.75 ,5.75 ,5.75 ,5.50 ,4.00 ,4.25 
40,貳樓餐廳Second Floor Cafe 師大店,7.25 ,9.25 ,8.00 ,10.00 ,10.75 ,5.50 ,6.25 ,5.00 ,4.75 ,5.50 ,5.75 ,1.50 ,4.00 ,3.00 ,3.50 ,1.75 ,2.00 ,7.75 ,5.25 ,4.00 ,3.50 ,3.25 ,1.50 ,3.75 ,3.25 ,3.50 ,2.50 ,4.00 ,7.00 ,5.50 ,8.00 ,7.75 ,7.25 ,7.50 ,8.50 ,1.25 ,1.50 ,0.75 ,0.50 ,0.00 ,1.25 ,5.50 ,2.25 ,9.25 ,10.00 ,9.50 ,6.50 ,5.50 ,6.25 ,6.00 ,5.25 ,0.75 ,6.25 ,5.50 ,5.50 ,10.00 ,7.75 ,7.50 ,5.25 ,5.00 ,6.00 ,5.75 ,4.25 ,4.00 ,4.00 ,5.25 ,3.25 ,5.00 ,5.25 ,7.75 ,6.00 ,5.75 ,5.75 ,4.00 ,4.50 
41,龍泉深海鮮魚湯,6.25 ,8.25 ,7.00 ,10.75 ,11.00 ,4.50 ,5.25 ,4.25 ,4.00 ,4.75 ,4.75 ,1.00 ,2.75 ,2.00 ,2.50 ,0.75 ,2.50 ,8.50 ,6.00 ,4.75 ,2.50 ,2.25 ,1.50 ,3.00 ,2.50 ,2.50 ,2.50 ,3.00 ,7.50 ,6.25 ,7.00 ,6.75 ,6.50 ,6.75 ,8.50 ,1.50 ,2.00 ,0.75 ,1.25 ,1.25 ,0.00 ,6.25 ,3.25 ,8.50 ,10.00 ,9.50 ,7.25 ,6.25 ,7.00 ,5.75 ,6.00 ,2.00 ,5.75 ,6.25 ,5.75 ,9.75 ,8.50 ,8.00 ,4.00 ,4.00 ,4.75 ,4.50 ,3.25 ,3.00 ,4.50 ,4.25 ,3.00 ,3.75 ,4.25 ,6.75 ,4.75 ,4.75 ,4.50 ,3.00 ,3.50 
42,2J CAFE,9.50 ,11.50 ,10.25 ,8.00 ,8.75 ,7.75 ,6.00 ,6.25 ,6.00 ,6.75 ,7.50 ,7.25 ,6.25 ,6.00 ,6.25 ,7.00 ,7.25 ,6.25 ,1.75 ,2.00 ,5.75 ,5.50 ,5.00 ,5.50 ,5.25 ,5.00 ,4.00 ,6.25 ,5.25 ,2.25 ,8.25 ,9.00 ,6.75 ,7.00 ,7.00 ,6.75 ,4.50 ,6.25 ,5.50 ,5.50 ,6.25 ,0.00 ,3.75 ,8.00 ,8.00 ,8.00 ,4.75 ,4.00 ,3.75 ,4.25 ,2.50 ,5.00 ,4.75 ,4.00 ,4.00 ,8.50 ,5.75 ,4.50 ,7.50 ,7.50 ,8.50 ,8.25 ,7.00 ,7.50 ,8.00 ,8.00 ,8.00 ,7.50 ,7.75 ,10.50 ,8.50 ,8.50 ,8.25 ,7.75 ,7.00 
43,青田七六,8.00 ,10.00 ,8.75 ,9.25 ,9.75 ,6.25 ,6.25 ,5.00 ,4.75 ,5.25 ,6.25 ,4.00 ,4.25 ,3.50 ,4.00 ,4.00 ,4.00 ,6.75 ,4.25 ,3.00 ,3.50 ,3.25 ,2.00 ,4.00 ,3.50 ,3.50 ,2.25 ,4.50 ,6.00 ,4.50 ,8.00 ,8.25 ,7.25 ,7.50 ,7.75 ,3.50 ,1.25 ,3.00 ,2.25 ,2.25 ,3.25 ,3.75 ,0.00 ,8.75 ,9.25 ,8.75 ,5.50 ,4.75 ,5.25 ,5.25 ,4.25 ,1.50 ,5.50 ,4.75 ,4.75 ,9.25 ,6.75 ,6.50 ,5.75 ,5.75 ,6.75 ,6.50 ,5.00 ,5.50 ,4.25 ,6.00 ,4.75 ,5.50 ,6.00 ,8.50 ,6.75 ,6.50 ,6.25 ,5.25 ,5.25 
44,富士咖哩FujiCurry,6.75 ,8.75 ,7.75 ,2.75 ,2.50 ,6.50 ,4.50 ,5.50 ,5.25 ,4.75 ,5.25 ,9.25 ,7.00 ,7.50 ,7.50 ,9.25 ,10.75 ,2.75 ,6.25 ,6.00 ,7.00 ,7.50 ,7.75 ,6.75 ,7.25 ,7.00 ,7.00 ,6.75 ,2.75 ,5.75 ,4.25 ,4.50 ,3.00 ,2.75 ,2.25 ,9.75 ,8.25 ,8.50 ,8.75 ,9.25 ,8.50 ,8.00 ,8.75 ,0.00 ,1.75 ,1.00 ,3.50 ,4.50 ,4.25 ,4.25 ,5.25 ,9.00 ,4.00 ,4.75 ,4.75 ,1.50 ,3.50 ,3.75 ,7.00 ,7.25 ,7.00 ,7.00 ,7.25 ,8.00 ,12.75 ,8.25 ,11.25 ,7.75 ,7.00 ,8.50 ,7.00 ,7.00 ,7.25 ,8.25 ,7.25 
45,佐藤咖哩,8.50 ,10.50 ,9.25 ,1.00 ,1.25 ,8.00 ,6.00 ,7.00 ,6.75 ,6.25 ,6.75 ,10.75 ,8.50 ,9.00 ,9.00 ,10.75 ,11.75 ,2.50 ,6.50 ,6.25 ,8.50 ,9.00 ,9.25 ,8.25 ,8.75 ,8.50 ,8.50 ,8.50 ,3.25 ,6.00 ,6.00 ,6.25 ,4.50 ,4.25 ,1.50 ,11.25 ,9.00 ,10.25 ,10.00 ,10.00 ,10.00 ,8.00 ,9.25 ,1.75 ,0.00 ,0.75 ,3.75 ,5.75 ,4.50 ,5.75 ,5.75 ,9.50 ,5.50 ,6.25 ,6.25 ,0.75 ,2.75 ,3.75 ,8.50 ,9.00 ,8.75 ,8.50 ,8.75 ,9.50 ,13.25 ,9.75 ,12.50 ,9.25 ,8.75 ,10.00 ,8.50 ,8.75 ,8.75 ,9.75 ,8.75 
46,豬頭天知高飯,7.75 ,9.75 ,8.50 ,1.75 ,2.00 ,7.25 ,5.25 ,6.50 ,6.25 ,5.50 ,6.25 ,10.00 ,8.00 ,8.50 ,8.25 ,10.25 ,11.00 ,1.75 ,6.25 ,6.00 ,8.00 ,8.50 ,8.75 ,7.50 ,8.00 ,8.00 ,7.75 ,7.75 ,2.50 ,5.75 ,5.25 ,5.75 ,3.75 ,3.75 ,1.50 ,10.75 ,8.50 ,9.50 ,9.50 ,9.50 ,9.50 ,8.00 ,8.75 ,1.00 ,0.75 ,0.00 ,3.25 ,5.00 ,4.00 ,5.00 ,5.25 ,9.00 ,5.00 ,5.75 ,5.75 ,0.50 ,2.50 ,3.50 ,7.75 ,8.25 ,8.00 ,7.75 ,8.00 ,9.00 ,12.50 ,9.00 ,12.00 ,8.75 ,8.00 ,9.25 ,8.00 ,8.00 ,8.00 ,9.25 ,8.25 
47,找餐。店,7.50 ,9.50 ,8.25 ,4.00 ,4.50 ,7.00 ,4.50 ,5.25 ,4.75 ,4.25 ,5.75 ,8.25 ,7.25 ,7.00 ,7.50 ,8.25 ,8.25 ,1.50 ,3.00 ,2.75 ,6.75 ,6.50 ,6.00 ,6.50 ,6.25 ,6.00 ,5.00 ,7.00 ,0.75 ,2.25 ,5.25 ,6.00 ,3.50 ,3.50 ,2.50 ,7.75 ,5.50 ,7.25 ,6.50 ,6.50 ,7.25 ,4.75 ,5.50 ,3.50 ,3.75 ,3.25 ,0.00 ,2.25 ,0.75 ,2.25 ,2.00 ,6.00 ,2.75 ,2.75 ,3.25 ,3.75 ,1.50 ,0.75 ,7.25 ,7.75 ,7.50 ,7.25 ,7.50 ,8.25 ,9.75 ,8.50 ,9.00 ,8.00 ,7.50 ,8.75 ,7.50 ,7.50 ,7.75 ,8.75 ,7.75 
48,Stoppage Time 補時,6.50 ,8.50 ,7.50 ,5.75 ,6.25 ,5.50 ,2.75 ,3.75 ,3.25 ,3.00 ,4.25 ,7.25 ,5.75 ,5.75 ,6.00 ,7.00 ,7.00 ,3.25 ,2.50 ,2.00 ,5.50 ,5.25 ,5.00 ,5.25 ,5.00 ,4.75 ,4.00 ,5.75 ,2.50 ,2.25 ,4.25 ,5.25 ,2.75 ,3.00 ,4.25 ,6.75 ,4.50 ,6.25 ,5.50 ,5.50 ,6.25 ,4.00 ,4.75 ,4.50 ,5.75 ,5.00 ,2.25 ,0.00 ,1.75 ,0.50 ,1.50 ,5.00 ,1.00 ,0.75 ,1.25 ,5.50 ,3.25 ,3.00 ,6.00 ,6.50 ,6.50 ,6.25 ,6.25 ,7.00 ,8.75 ,7.25 ,8.00 ,6.75 ,6.25 ,8.00 ,6.50 ,6.50 ,6.25 ,7.25 ,6.25 
49,SuperVit 營養師的光合廚房,7.75 ,9.75 ,8.50 ,4.75 ,5.25 ,6.50 ,4.25 ,4.75 ,4.25 ,4.00 ,5.50 ,7.75 ,6.75 ,6.50 ,7.00 ,7.75 ,7.75 ,2.25 ,2.25 ,2.50 ,6.50 ,6.25 ,5.50 ,6.25 ,6.00 ,5.75 ,4.50 ,6.75 ,1.50 ,1.50 ,5.25 ,6.25 ,3.75 ,4.00 ,3.25 ,7.50 ,5.00 ,7.00 ,6.25 ,6.25 ,7.00 ,3.75 ,5.25 ,4.25 ,4.50 ,4.00 ,0.75 ,1.75 ,0.00 ,2.00 ,1.50 ,5.50 ,2.25 ,2.25 ,3.00 ,4.50 ,2.25 ,1.25 ,7.00 ,7.50 ,7.50 ,7.25 ,7.25 ,8.00 ,9.25 ,8.25 ,8.50 ,7.75 ,7.25 ,9.00 ,7.50 ,7.50 ,7.25 ,8.25 ,7.25 
50,穰穰,6.00 ,8.25 ,7.00 ,5.75 ,6.50 ,5.00 ,2.50 ,3.25 ,2.75 ,2.50 ,4.00 ,6.50 ,5.25 ,5.25 ,5.50 ,6.75 ,7.50 ,3.50 ,2.75 ,2.50 ,5.00 ,4.75 ,5.25 ,4.75 ,4.50 ,4.25 ,4.25 ,5.25 ,2.75 ,2.50 ,3.75 ,4.75 ,2.25 ,2.50 ,4.25 ,7.25 ,5.00 ,6.00 ,6.00 ,6.00 ,5.75 ,4.25 ,5.25 ,4.25 ,5.75 ,5.00 ,2.25 ,0.50 ,2.00 ,0.00 ,1.75 ,5.50 ,0.50 ,0.75 ,1.25 ,5.50 ,3.50 ,3.25 ,5.50 ,6.00 ,6.00 ,5.75 ,5.75 ,6.50 ,9.00 ,6.75 ,8.25 ,6.25 ,5.75 ,7.50 ,6.00 ,6.00 ,5.75 ,6.75 ,5.75 
51,曬貓咖啡,7.50 ,9.50 ,8.25 ,5.75 ,6.50 ,6.25 ,3.50 ,5.00 ,4.25 ,4.00 ,5.50 ,6.75 ,6.25 ,5.50 ,6.25 ,6.75 ,6.75 ,3.50 ,1.00 ,1.00 ,5.50 ,5.25 ,4.75 ,5.25 ,5.00 ,4.75 ,3.75 ,6.00 ,2.75 ,1.00 ,5.50 ,6.25 ,4.00 ,4.25 ,4.25 ,6.50 ,4.25 ,6.00 ,5.25 ,5.25 ,6.00 ,2.50 ,4.25 ,5.25 ,5.75 ,5.25 ,2.00 ,1.50 ,1.50 ,1.75 ,0.00 ,4.50 ,2.00 ,1.50 ,2.00 ,5.75 ,3.25 ,2.50 ,7.25 ,7.25 ,7.50 ,7.25 ,6.50 ,7.25 ,8.25 ,7.75 ,7.75 ,7.00 ,7.50 ,9.25 ,7.75 ,7.75 ,7.50 ,7.50 ,6.50 
52,Eggtion Coffee艾炫咖啡,8.00 ,10.00 ,8.75 ,9.50 ,10.00 ,6.25 ,6.50 ,5.25 ,5.00 ,5.75 ,6.50 ,2.50 ,4.50 ,3.25 ,3.75 ,2.50 ,2.25 ,7.25 ,4.75 ,3.50 ,4.00 ,3.75 ,1.75 ,4.25 ,3.75 ,3.75 ,2.50 ,4.75 ,6.50 ,5.00 ,8.25 ,8.50 ,7.50 ,7.75 ,8.00 ,2.00 ,1.00 ,1.75 ,1.25 ,0.75 ,2.00 ,5.00 ,1.50 ,9.00 ,9.50 ,9.00 ,6.00 ,5.00 ,5.50 ,5.50 ,4.50 ,0.00 ,5.75 ,5.00 ,5.00 ,9.50 ,7.25 ,6.75 ,5.75 ,5.75 ,6.75 ,6.50 ,5.00 ,4.75 ,3.75 ,6.00 ,3.25 ,5.75 ,6.00 ,8.50 ,6.75 ,6.50 ,6.25 ,4.75 ,5.25 
53,蘇草salvia,6.00 ,8.00 ,6.75 ,6.25 ,6.50 ,4.75 ,2.00 ,3.00 ,2.50 ,2.25 ,3.75 ,6.25 ,5.25 ,5.00 ,5.25 ,6.50 ,7.75 ,3.75 ,3.00 ,2.75 ,5.00 ,4.75 ,5.00 ,4.75 ,4.50 ,4.25 ,4.00 ,5.00 ,3.00 ,2.75 ,3.50 ,4.50 ,2.25 ,2.50 ,4.00 ,7.00 ,5.25 ,5.75 ,6.00 ,6.25 ,5.75 ,4.75 ,5.50 ,4.00 ,5.50 ,5.00 ,2.75 ,1.00 ,2.25 ,0.50 ,2.00 ,5.75 ,0.00 ,0.75 ,0.75 ,5.25 ,4.00 ,3.50 ,5.50 ,5.75 ,5.75 ,5.50 ,5.50 ,6.25 ,9.50 ,6.50 ,8.50 ,6.00 ,5.50 ,7.25 ,6.00 ,5.75 ,5.75 ,6.50 ,5.50 
54,揪食堂 韓國餐館,6.00 ,8.00 ,6.75 ,6.25 ,6.75 ,4.75 ,2.00 ,4.00 ,3.25 ,3.00 ,4.50 ,7.00 ,6.00 ,5.75 ,6.25 ,7.00 ,7.00 ,4.00 ,2.50 ,2.00 ,5.75 ,5.50 ,4.75 ,5.50 ,5.25 ,5.00 ,3.75 ,5.75 ,3.25 ,2.25 ,4.50 ,5.25 ,3.00 ,3.25 ,4.75 ,6.75 ,4.25 ,6.25 ,5.50 ,5.50 ,6.25 ,4.00 ,4.75 ,4.75 ,6.25 ,5.75 ,2.75 ,0.75 ,2.25 ,0.75 ,1.50 ,5.00 ,0.75 ,0.00 ,0.75 ,6.25 ,4.00 ,3.50 ,6.25 ,6.75 ,6.50 ,6.25 ,6.25 ,7.00 ,8.50 ,7.25 ,7.75 ,6.75 ,6.50 ,8.00 ,6.75 ,6.75 ,6.50 ,7.50 ,6.50 
55,Open開房間桌遊餐館,6.00 ,8.00 ,6.75 ,6.75 ,7.25 ,4.75 ,2.00 ,3.75 ,3.25 ,3.00 ,4.50 ,6.50 ,6.00 ,5.75 ,6.00 ,6.75 ,7.00 ,4.50 ,3.00 ,2.25 ,5.75 ,5.50 ,5.00 ,5.50 ,5.25 ,4.50 ,3.75 ,5.75 ,3.75 ,3.00 ,4.25 ,5.25 ,3.00 ,3.25 ,4.75 ,6.75 ,4.50 ,5.75 ,5.50 ,5.50 ,5.75 ,4.00 ,4.75 ,4.75 ,6.25 ,5.75 ,3.25 ,1.25 ,3.00 ,1.25 ,2.00 ,5.00 ,0.75 ,0.75 ,0.00 ,6.00 ,4.50 ,4.25 ,6.25 ,6.50 ,6.50 ,6.25 ,6.25 ,7.00 ,8.75 ,7.25 ,8.00 ,6.75 ,6.25 ,8.00 ,6.75 ,6.50 ,6.50 ,7.25 ,6.25 
56,西螺鴨膳師當歸鴨肉麵線,8.25 ,10.25 ,9.00 ,1.50 ,1.50 ,7.75 ,5.75 ,6.75 ,6.50 ,6.00 ,6.50 ,10.50 ,8.50 ,8.75 ,8.75 ,10.75 ,11.50 ,2.25 ,6.75 ,6.50 ,8.25 ,8.75 ,9.25 ,8.00 ,8.50 ,8.25 ,8.25 ,8.25 ,3.25 ,6.25 ,5.75 ,6.00 ,4.25 ,4.00 ,2.00 ,11.25 ,9.00 ,10.00 ,10.00 ,10.00 ,9.75 ,8.50 ,9.25 ,1.50 ,0.75 ,0.50 ,3.75 ,5.50 ,4.50 ,5.50 ,5.75 ,9.50 ,5.25 ,6.25 ,6.00 ,0.00 ,3.25 ,4.00 ,8.25 ,8.75 ,8.50 ,8.25 ,8.50 ,9.50 ,13.25 ,9.50 ,12.50 ,9.25 ,8.50 ,9.75 ,14.00 ,8.50 ,8.50 ,9.75 ,8.75 
57,吳一無二法式甜點,8.00 ,10.00 ,8.75 ,2.75 ,3.50 ,7.25 ,5.50 ,6.25 ,5.75 ,5.50 ,6.25 ,9.25 ,8.00 ,8.00 ,8.50 ,9.25 ,9.25 ,0.75 ,4.00 ,4.00 ,8.00 ,7.75 ,7.25 ,7.75 ,7.50 ,7.25 ,6.00 ,7.75 ,0.75 ,3.75 ,5.50 ,6.50 ,4.00 ,3.75 ,1.75 ,9.00 ,6.75 ,8.50 ,7.75 ,7.75 ,8.50 ,5.75 ,6.75 ,3.50 ,2.75 ,2.50 ,1.50 ,3.25 ,2.25 ,3.50 ,3.25 ,7.25 ,4.00 ,4.00 ,4.50 ,3.25 ,0.00 ,1.50 ,7.75 ,8.25 ,8.00 ,7.75 ,8.25 ,9.00 ,11.00 ,9.25 ,10.25 ,7.00 ,8.00 ,9.25 ,8.00 ,8.00 ,8.25 ,9.25 ,8.25 
58,餘記麵館,8.00 ,10.00 ,8.75 ,4.00 ,4.75 ,7.25 ,5.25 ,6.00 ,5.50 ,5.25 ,6.25 ,9.00 ,8.00 ,7.75 ,8.25 ,9.00 ,9.00 ,1.75 ,3.00 ,3.50 ,7.75 ,7.50 ,6.75 ,7.50 ,7.25 ,7.00 ,5.75 ,7.75 ,1.00 ,2.75 ,5.50 ,6.50 ,4.00 ,4.00 ,2.50 ,8.75 ,6.25 ,8.25 ,7.25 ,7.50 ,8.00 ,4.50 ,6.50 ,3.75 ,3.75 ,3.50 ,0.75 ,3.00 ,1.25 ,3.25 ,2.50 ,6.75 ,3.50 ,3.50 ,4.25 ,4.00 ,1.50 ,0.00 ,7.75 ,8.25 ,8.00 ,7.75 ,8.00 ,9.00 ,10.50 ,9.00 ,9.75 ,7.25 ,8.00 ,9.25 ,7.75 ,8.00 ,8.00 ,9.25 ,8.25 
